-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.5b Reputation (REP) as of 27.12.2022 18pm UTC+1 (Fourth iteration)

0xA08Fc2d5D41E76f83B31828633420A7b2456e4BC : 1739 	: 0.1991 %
0x8299c01d1113143Aa45Bbf1e23133AB5152d2a9B : 1720 	: 0.19693 %
0x80a1AbB73E3f209d331671ed9Fb4027c4CA4196c : 1713 	: 0.19612 %
0xfed1a4B1c9a4581711e46C70141beBbb56a5afEb : 1700 	: 0.19464 %
0xc43Ffa24919CC00D1c3789f405668f19D580963F : 1691 	: 0.19361 %
0xDE3E90b00314C9671DdB5BDd1A84bDE6e0d94CE6 : 1671 	: 0.19132 %
0x7Efab830E3E8190da5Ba46F5DF560b6f92C72234 : 1638 	: 0.18754 %
0x463a5aeC22AFBF85d48b45C4f24C07706BAA6679 : 1601 	: 0.1833 %
0xfbe0DA7F87D1979812B3a68fc07fb7231EC80c16 : 1572 	: 0.17998 %
0xa140A930C7598C31E280805e49574FD90D799B34 : 1555 	: 0.17803 %
0x8836571D0BA76B888702630A6A0a577E3F65D036 : 1555 	: 0.17803 %
0x99e54Fa0332523c93650A75D3BCc8059DDF2219A : 1518 	: 0.1738 %
0x679f6d19dd99733BBB3e83108dFD10eBC9fbe972 : 1510 	: 0.17288 %
0x294D9805C8952Ad96a1Ae01fdEE302827B5c1f6B : 1482 	: 0.16968 %
0xAb269b30F9BD0a9f5a81e10Bf58141AF92CAfE55 : 1464 	: 0.16762 %
0xDd5c493f7CE31839598B60b3Abe5F5e587632d84 : 1409 	: 0.16132 %
0x41A5f5a89F78Eb4438cc061D370d28fD1Fd5C64d : 1341 	: 0.15353 %
0x1b5A4Cace906E82e1d4acECf46D3749f418Eba61 : 1335 	: 0.15285 %
0x6AC7c2d76c674f978ea159Fc30d57413a6e917Eb : 1333 	: 0.15262 %
0x71Abf929004384d6380547a412a5aFC126F66908 : 1304 	: 0.1493 %
0x7e1A1366240cE780518F4c07086D6b35e02D60d6 : 1297 	: 0.1485 %
0xcBaD13849628FEFA87D1Bf132F10EA607a57DA42 : 1273 	: 0.14575 %
0x57D3Ca64F4745B1936E34B3296238246895AECf3 : 1271 	: 0.14552 %
0x1888fa494F7b1214b29f726E316CF83508318b88 : 1262 	: 0.14449 %
0xD2AcBC53fEbF2b741a5EFE52e56bc2E2Ce44BeB0 : 1254 	: 0.14357 %
0xBfe79f87ACd5b339A988C2C02E35d14C9F4A1DDA : 1227 	: 0.14048 %
0x10BB8Ab9aed0a46B788Fc50A6066D28C39F214FE : 1215 	: 0.13911 %
0xB3F50dCC21578a9dA684d336859C14d5094Dd4B1 : 1202 	: 0.13762 %
0x12921D9B95521F5CBff4463070c2ABC2732de7dE : 1182 	: 0.13533 %
0x97a904554E4c4C6E0d448AE920140Ac61Bdd7C97 : 1175 	: 0.13453 %
0x6d1FE8bD8372FEff4B2C9E831B52e077b3Ca99ea : 1175 	: 0.13453 %
0x7b2d72D5eB4d7D6d473301090e36ABF685EfbF22 : 1169 	: 0.13384 %
0x2A951bF0E43a972EA264B7bD13EFF1652713c05A : 1156 	: 0.13235 %
0x73c18B424b751B3F3e5a5DC109a9543bCa5bea35 : 1119 	: 0.12812 %
0x5f28B5861C25997C5Ad746b2eE30E50c812779DD : 1094 	: 0.12525 %
0x2CeD43767E5e0D773688fe6Cc179cE1E6032B945 : 1083 	: 0.12399 %
0x4b36DaE68ae191443FDcfF240F070Ab8D7A4e00A : 1079 	: 0.12354 %
0xfa829732D90Dfc0b48Caa2543ce5B8C317D21AEd : 1060 	: 0.12136 %
0x42aE839bfacC91b4f359f7a4160610F9a4a225a8 : 1056 	: 0.1209 %
0xF925aE0B933d31D9C18Bc2421d94C9F71C5e8cC4 : 1014 	: 0.11609 %
0x376846dF4CD52a0E1ba5D4e81DCdb3Bd15c64046 : 1007 	: 0.11529 %
0x9Af20cf724ffDC36Ad15A86FB37B093400c37C31 : 996 	: 0.11403 %
0x138C5fa55339E8A63085d6fE39Cf11816b45DD05 : 994 	: 0.1138 %
0xDb1a1f4508434502D0a1Dc6e7C400a84987bc827 : 992 	: 0.11358 %
0x89c4508ABf6C4B90485BB6597dA7072D636e2605 : 980 	: 0.1122 %
0xb1aac08E9C2979071eD67B73278eDee1EFa55116 : 966 	: 0.1106 %
0x5a397e8b5d2D9327ca79cA7DbD2b1bbD855A3299 : 938 	: 0.10739 %
0xd2c5cA64394ecDC630628a4e434e025D2527e4c8 : 931 	: 0.10659 %
0xe8772f10Ec53F4faE8BD20420B4e692627Da272B : 924 	: 0.10579 %
0x191B1CA785b7b493D49A68287e300CB4081f97b8 : 918 	: 0.1051 %
0x018D5A52Cb0a35A8b88fC755cB12F0d394b896a7 : 912 	: 0.10442 %
0xcdeaAFfEF75cb36677BA2d003c0d1FFd942fd800 : 900 	: 0.10304 %
0x000000004ea8D1a2a97153d5453Ae3f2241AD8FA : 889 	: 0.10178 %
0xb81B629646877A575723C523239FB3F791663c30 : 888 	: 0.10167 %
0xc9695e93f67531D1aF76A748865BD26bef9dA0C7 : 883 	: 0.1011 %
0x18128d3Fb452Ca8B75f4AC744d554515c1764AFE : 864 	: 0.09892 %
0xEC5F932949f46c7ba5ac6053bD06754764f6aF3e : 854 	: 0.09778 %
0x05505eAe37b6d583966d27f89Ae3F8db190B1469 : 852 	: 0.09755 %
0x2932C6B14b76152eF05ee4CE90e54F808f3d540e : 850 	: 0.09732 %
0x21199Cbb45CF411EA60342A8fC16045bbB19aB6B : 847 	: 0.09697 %
0x1538aA7A66116Fb17e791CE223650A3be0D5368E : 828 	: 0.0948 %
0xC01C1Cc1C2356961650B63A0A330f6E7653A4c73 : 826 	: 0.09457 %
0xF225f2A5a24460FF73bEe27eDf9d030f804298A2 : 824 	: 0.09434 %
0x6328a263B18CA319e46a6FeFa3F5fD09198cA75a : 817 	: 0.09354 %
0xc2adf3E43e862B9028924dD2BF4AFeB4E6D9f3fb : 806 	: 0.09228 %
0x32d5986Ab408A468f9414F7254450f56Fc4cC1fd : 795 	: 0.09102 %
0xa38DeE2992Dce20dc7eA2eFB1F687b9Eef9d1A94 : 794 	: 0.09091 %
0xB07C1B47AE5560A48991CBcc2C2B389863102025 : 792 	: 0.09068 %
0x4E23C6a6F9da9712654A7528959b0839e8799A52 : 791 	: 0.09056 %
0x4e7A87287d7D2d074340C81cdaeFAA3F72D88b82 : 788 	: 0.09022 %
0xb9D1FfCDa035F2661d9F52Ef89947b19B33e5259 : 766 	: 0.0877 %
0x0e5fF8dC23Eda6055996D97D5Debd811347CF268 : 762 	: 0.08724 %
0xbFC9a88E09c01FfF3f90915239641b96fAd24871 : 762 	: 0.08724 %
0xA05e5e3679A4ABA67ef74f0EbA0FfDDE1f2e38AB : 762 	: 0.08724 %
0xb02598Dfd439bC72851aF29428991A2584C5C5E8 : 759 	: 0.0869 %
0x9C1157742cF6a5065a55FE91F5f55Fe105976f68 : 757 	: 0.08667 %
0x5883C43B358F06095994D26fd392B1267426B893 : 756 	: 0.08656 %
0xDBFaB21BE9421C876e822b2f6b25e54627aac9F4 : 746 	: 0.08541 %
0x17A6f204b2Ff43cC4954d8CFcBCa62E440f91ac8 : 743 	: 0.08507 %
0x0c8f3E3912F35a59ffddc9Ff1ABB8FafC89b29de : 742 	: 0.08495 %
0x8Da271715786Bfe4d4b74a87BB99a842E9A95d53 : 737 	: 0.08438 %
0x7D593389ed69BbF7C8062AD216cA359b4cc7c25C : 736 	: 0.08427 %
0xe270Cd12D9AdF74BBeccb0A4507f1ee7b743FcFf : 735 	: 0.08415 %
0x377b5e49fC722d9051c1BfEc0677d4Dd2623245B : 731 	: 0.08369 %
0x35533C5CA870343d05aD214F0Ee5a00C8BF94C8C : 723 	: 0.08278 %
0x2182e01627Dc99e5acB0eA04206E9990C69cebB8 : 720 	: 0.08243 %
0x3f0C8E4D932917e713a19007eD5B5915e6B024D0 : 719 	: 0.08232 %
0x42AAD0Cdb48A15604281282a0A0e9ab0170BdB5a : 718 	: 0.0822 %
0xC4264CF3221D3FC2D9B8AE961F9568a8a54020A6 : 718 	: 0.0822 %
0x5636608b362E65396ed1A2b6F6D309caA8327035 : 714 	: 0.08175 %
0xF752e814E28ac55017016921bf5618786f316Ad7 : 709 	: 0.08117 %
0x340fA1cd216f516D676cC88396A42fBF21510b05 : 708 	: 0.08106 %
0x70bB434EA7B7f14709Ed0DD17cC54056812Cf4ad : 708 	: 0.08106 %
0x41A4Bd88c1079727666dC14879cCBdE0c2098FE9 : 693 	: 0.07934 %
0xABfef716647A5E104E9d8805c825a6972879D762 : 689 	: 0.07888 %
0xCDFE2831B3E8B4B5834C2BcC4AA55c84A71e28B9 : 683 	: 0.0782 %
0x6E3D63fCefA7Eb1963674832d78e12E289a2e7CE : 682 	: 0.07808 %
0xB663Ef80167C956571029d46C1122C7aD526a8CB : 680 	: 0.07785 %
0xe81b0755Ed49Ec035D88Fc88A65aF798d1Cc6239 : 678 	: 0.07763 %
0x95D984e859646D42e418DF5e9CcA6D0A4Ae91584 : 672 	: 0.07694 %
0xC02b9a7D4eb368DD01F6E38B75eBA586bf4905D6 : 672 	: 0.07694 %
0x03eA530e6bf5CDdF40664a5dAC499A18a3279155 : 670 	: 0.07671 %
0xE88Cd14B21081D10c864A60FAa667F8BF542C98C : 669 	: 0.07659 %
0x92D1097896bB7Bca09013b315666396A0E5717BF : 667 	: 0.07637 %
0x9dff7476d17C43Fc7B33D4fF7637A9B63DC228Cb : 667 	: 0.07637 %
0x20595D6F330CA93995D6376B2FDb28CBeBa01217 : 665 	: 0.07614 %
0x55b0b78fFDD8844a1A6d54E6F5c894Db5de9bD4a : 662 	: 0.07579 %
0xF6064C1cdd38166E7771B7bF3843f7A8d6a47fA2 : 661 	: 0.07568 %
0x9BF83ebb8C5D0E6F6A0c0D860D57C6Dbe79fd82E : 661 	: 0.07568 %
0xd9d229E34970aF7B53f3485675F57834F8838071 : 658 	: 0.07534 %
0x85bBccD874c007742f8cAD5252464fdb2B236dFd : 658 	: 0.07534 %
0x04107F4d4f90a21019548d6091CC235d68fA05b7 : 656 	: 0.07511 %
0x990e10154B9c512eD2088982A42658c7b29dF4Fa : 656 	: 0.07511 %
0xa3263Ad9EEf2F48302050512b501D7cDB4135435 : 656 	: 0.07511 %
0xe66B49589C29C132c624E1DcB522Cd8793438946 : 656 	: 0.07511 %
0x4C80C159A46dE1BDCFFd7263fc7BB9639a4d5f23 : 655 	: 0.07499 %
0xFF0f6F9AFa9F6cf061cDA512b37ca9ccf0817561 : 654 	: 0.07488 %
0x1cAd429d660aeb4120c3884da3882c53D8C814eA : 653 	: 0.07476 %
0x54c50918FdBD8297fEa01e159B0FA13A8a722DEb : 649 	: 0.07431 %
0xA5504d58EBC75EfDBc47cA427A40b394866eCa4D : 648 	: 0.07419 %
0xccf987ed3C7AC355C3701b98730E80b7da67E958 : 646 	: 0.07396 %
0xbB854204eD9577E1cbd49C23A6DBE52efE86C568 : 646 	: 0.07396 %
0x1c4d4357673d5789d7CAd0C43dAC05afE8A6a924 : 643 	: 0.07362 %
0xdd3e860AB28106F756BEc962c3739Be94c030c6F : 642 	: 0.0735 %
0x3438A0D91bEC85E01e05Cb80BecC02728C8B31ea : 639 	: 0.07316 %
0x3ED643BF0C01Fef2DA1aE41E5B262b8e37Fa84B3 : 635 	: 0.0727 %
0x7Ef73Df74850a6751a43121bc24584dFeceB1B37 : 634 	: 0.07259 %
0x1190090331Ef9B4E6fc2f833f349D415f2a778f4 : 629 	: 0.07202 %
0x13a881D54b975409ff64fdB48ecA99f1d9063559 : 624 	: 0.07144 %
0xb523D1957e74c5A8e76B40409b1FD4c06e20a930 : 621 	: 0.0711 %
0x3180Ee74d1737A8E28D0483fff63388f7D9452D9 : 616 	: 0.07053 %
0x284A70d4F29EFcc5cB4AbB875D345B237a37B6a5 : 614 	: 0.0703 %
