-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.4.3b Reputation (REP) as of 05.12.2022 (Third iteration)

0x5a397e8b5d2D9327ca79cA7DbD2b1bbD855A3299 : 178194 	: 0.19 %
0xbce24a1fC753F1C0d48BE3e2dE5FE4fF26D8fAA0 : 169000 	: 0.18 %
0x8e48C7eA3A8D09D8dB020B20FED292AF72B6eFf2 : 161811 	: 0.172 %
0x95D984e859646D42e418DF5e9CcA6D0A4Ae91584 : 160236 	: 0.171 %
0x44e523722C369Ffd319c7a4b38C7B70D3ae046DE : 160156 	: 0.171 %
0xa38DeE2992Dce20dc7eA2eFB1F687b9Eef9d1A94 : 160095 	: 0.171 %
0x45f50500874d2F900D18c0a998BBf6eDc6321d77 : 152131 	: 0.162 %
0xC493b2186818a6e4313c5d1aD724D53905570754 : 150772 	: 0.161 %
0xDBFaB21BE9421C876e822b2f6b25e54627aac9F4 : 150185 	: 0.16 %
0x523B2709bC7Dc3f7effCdf72a61E6Daad48786Fb : 149797 	: 0.16 %
0xf7d456486E042F35CB101035393A0DF6Fd2896B1 : 144517 	: 0.154 %
0x5DF4c975162BAE76Fc790e69B742b99435031253 : 143682 	: 0.153 %
0x89D3d7596987Dd21A8501Cc500457958489E0Cc3 : 142396 	: 0.152 %
0xb9D1FfCDa035F2661d9F52Ef89947b19B33e5259 : 139311 	: 0.148 %
0x6A47cF857A679FeC08086291b07b5efDd7832F66 : 138094 	: 0.147 %
0x2DCca48E1275B19952156e0EF7EF83E343fb1e2d : 137143 	: 0.146 %
0xb32d8181eb90D5F7cdE4d3da574f484F5EA17081 : 129712 	: 0.138 %
0xEC5F932949f46c7ba5ac6053bD06754764f6aF3e : 125086 	: 0.133 %
0xD8147Bdc57273aFcDb04050915Ac133c82A4B5AA : 124463 	: 0.133 %
0x839158B85A3C341B647A40CF73856e9262fB7a30 : 124045 	: 0.132 %
0x71Abf929004384d6380547a412a5aFC126F66908 : 122473 	: 0.131 %
0x30944f11657dEca6A822f419c923eFc41E7Fe0e4 : 122385 	: 0.13 %
0xDd5c493f7CE31839598B60b3Abe5F5e587632d84 : 120893 	: 0.129 %
0x0c5ef96534bf7836eaBcCef2Ae147A769A8B162d : 118819 	: 0.127 %
0x09477DD5CD261D717c069833428085450cc76425 : 117831 	: 0.126 %
0x4B433B03E6c366b91E233A19667992A46C1C0C05 : 117607 	: 0.125 %
0x76701bDC91F93eda739eA4E51CB4975D153Ee4aA : 117184 	: 0.125 %
0xF9a89c79148366258A2e8e925A3D162E9551662a : 116785 	: 0.124 %
0x8299c01d1113143Aa45Bbf1e23133AB5152d2a9B : 115948 	: 0.124 %
0x8B1Ef0a13bfc2C31251EdCcad2F9138d44FBd4cF : 115002 	: 0.123 %
0x05505eAe37b6d583966d27f89Ae3F8db190B1469 : 114092 	: 0.122 %
0x7b41f1aa1757D752Bc2650D7f704475CeB7A6E00 : 111154 	: 0.118 %
0x44683d6A8E70A7Ea547d08bc5EDB17dDc0FB304A : 110106 	: 0.117 %
0x8Da271715786Bfe4d4b74a87BB99a842E9A95d53 : 109696 	: 0.117 %
0x1235711B877fF0aF698Fe68cd2eDb127F2Cabde6 : 109218 	: 0.116 %
0x90580b9b943B8109c7CaeD3E4bD23158AD4d0408 : 107222 	: 0.114 %
0x21199Cbb45CF411EA60342A8fC16045bbB19aB6B : 106988 	: 0.114 %
0x3180Ee74d1737A8E28D0483fff63388f7D9452D9 : 106356 	: 0.113 %
0xa140A930C7598C31E280805e49574FD90D799B34 : 103780 	: 0.111 %
0xe270Cd12D9AdF74BBeccb0A4507f1ee7b743FcFf : 102195 	: 0.109 %
0x33538a8491276d43c751E7c87F700478D639A456 : 100896 	: 0.108 %
0x17A6f204b2Ff43cC4954d8CFcBCa62E440f91ac8 : 98885 	: 0.105 %
0x2B0c5c72dD9e119155DC307fB56680D836179c8D : 98047 	: 0.104 %
0x265F4bE9F8F2d40075A11c28a9501fd1B3614f28 : 96576 	: 0.103 %
0x3c84a434092d2605670188fe6Df82170484Df0aD : 96138 	: 0.102 %
0x5883C43B358F06095994D26fd392B1267426B893 : 95836 	: 0.102 %
0x8fC4f3B954e7B867241827b9445aD988fCf49063 : 95016 	: 0.101 %
0xB6B1492598E0e6223AC46d25F1fC3113F99b35d3 : 94559 	: 0.101 %
0x4F708050B3678c455c69616c6887e6Ce34b0C86d : 93713 	: 0.1 %
0x376846dF4CD52a0E1ba5D4e81DCdb3Bd15c64046 : 93638 	: 0.1 %
0xE5d74BFDB97DC5A1EF1937f7b38d09056B46B13D : 93096 	: 0.099 %
0xF925aE0B933d31D9C18Bc2421d94C9F71C5e8cC4 : 93025 	: 0.099 %
0xd07AebaF0aD21010437b9bEA4f1888DF908eAD82 : 91653 	: 0.098 %
0x1F71A27869de2E8CA859b3A7dc4d161666B1B585 : 91574 	: 0.098 %
0x57D3Ca64F4745B1936E34B3296238246895AECf3 : 91212 	: 0.097 %
0xBfe79f87ACd5b339A988C2C02E35d14C9F4A1DDA : 90330 	: 0.096 %
0xC8086d6fe0a1f7982ff787f9499B24718DE5Cd33 : 89783 	: 0.096 %
0x138C5fa55339E8A63085d6fE39Cf11816b45DD05 : 85994 	: 0.092 %
0x463a5aeC22AFBF85d48b45C4f24C07706BAA6679 : 85143 	: 0.091 %
0x17A8300d71944f98EC9178125f6D34D2C1144859 : 85056 	: 0.091 %
0x66886251cF8f0b21e18908336F14414784B08D9e : 83873 	: 0.089 %
0xeee057E67693655AA09DAAAE43D737531775B6af : 83417 	: 0.089 %
0xfe3c5A885C498bfBAD93b50D5BC70Ad88F5c9bf9 : 81468 	: 0.087 %
0xA169AE1CDec30D58d07e9D25ebd350Ad853b2DF5 : 80750 	: 0.086 %
0x54532813Cd5D224BbED1c011394dAa138E3DCc47 : 80478 	: 0.086 %
0xCDFE2831B3E8B4B5834C2BcC4AA55c84A71e28B9 : 79491 	: 0.085 %
0x7d40638286c92e63dB655B6319E843aabd72D015 : 78259 	: 0.083 %
0x397F216678Abeb6D921358854102AcD2D84ffD36 : 77958 	: 0.083 %
0xc6D6510000166c4e4043a68249952A7FD9650e19 : 77676 	: 0.083 %
0xB84297C071228ad9A36ac039Bb56be7a870e0d30 : 77674 	: 0.083 %
0xDFa47F0bEa24b7f5BDA9f32Ed98F92dd84883401 : 77662 	: 0.083 %
0x6328a263B18CA319e46a6FeFa3F5fD09198cA75a : 76688 	: 0.082 %
0x42aE839bfacC91b4f359f7a4160610F9a4a225a8 : 75568 	: 0.081 %
0xDF7d8e7f0556820593aBA352fA860Fe8711f0c9f : 75377 	: 0.08 %
0xb96227D1d429E47F1CcB4EC14ae86BF55d0d8bCE : 75255 	: 0.08 %
0x9409940CD0D5A3f726A24293b003e5d3618BaAC8 : 75185 	: 0.08 %
0x65fF1b49b48C6CF19E4Ef1b609c1be07589EbC6E : 75034 	: 0.08 %
0xF38D67df58CA63a87f3CDf0cB15AF6Aa363aF520 : 74648 	: 0.08 %
0x3bfAc75894A55a4063299b0A1c28D7C8F4867576 : 74252 	: 0.079 %
0xC3D12a61c0Dec3c453017405cCFf7182f44bA41A : 74145 	: 0.079 %
0xF6064C1cdd38166E7771B7bF3843f7A8d6a47fA2 : 74010 	: 0.079 %
0xAE3C466aA7492366fC4dd4dDD15f762f0831983F : 73313 	: 0.078 %
0x5f28B5861C25997C5Ad746b2eE30E50c812779DD : 72450 	: 0.077 %
0xFF0f6F9AFa9F6cf061cDA512b37ca9ccf0817561 : 71725 	: 0.076 %
0x41A4Bd88c1079727666dC14879cCBdE0c2098FE9 : 71221 	: 0.076 %
0x152d7cf0C0d0033d774Fb4a73c3E39097fDaEf75 : 71072 	: 0.076 %
0x1f70a6D6F92F61ead83c5a08D3DAb3523EBdf82d : 70102 	: 0.075 %
0xae2D20904d5E4D7E53f443fcD027816Cc640c258 : 69969 	: 0.075 %
0x395ffAeBff33D233E974B381513557654fa1d1F0 : 68942 	: 0.073 %
0x994c4c94b07Bd5e41E1252eE371f260DC45E52ff : 68750 	: 0.073 %
0x70B4bC010D5Fd2aA8EF3Ee7A6893c25Dd34307D4 : 67441 	: 0.072 %
0xaD86974c7661a8Ae72f0caB5944Cb43D5D3898Fb : 66288 	: 0.071 %
0x4ED4989a63Ee0C3C5E00255704535DE67dB58662 : 65695 	: 0.07 %
0x342a4A9A007e420182a755B1bf6a7451C97b19AC : 65604 	: 0.07 %
0xD823b2BaAC4d046701Fe004407ACe9167291aD9B : 65585 	: 0.07 %
0x30000Da0A0C82bB1B1829F30EfaCc1E92FFFF110 : 65404 	: 0.07 %
0xDc354d0dFC9F5235C0291a2FA2113064bcA43d47 : 65112 	: 0.069 %
0x79fde9a722e72F57706896675b725c0cED77CD0E : 64811 	: 0.069 %
0xba377C88f0084028349FD199d9e4929F6eFeE305 : 64723 	: 0.069 %
0x00f7fb4cd865c370e469906B29F93cfCb3177767 : 64561 	: 0.069 %
0xCd718BA7d05f84cA3E4fb3AE1e63205eB7ACed5e : 64287 	: 0.069 %
0x2cfA0C5685980fc0Ad53F7daA7da63aF5AFF37CB : 64132 	: 0.068 %
0x3971Badea71f6889baeC1a9e1571087A57547916 : 63677 	: 0.068 %
0x5564abC968D641d158100Df4770B147208461633 : 63659 	: 0.068 %
0x4739fe61B91C95780460991b112cE9D4b0d6Bc2C : 62763 	: 0.067 %
0x5c9EDEf909704b7473DC76876B915Df97c0b3a33 : 62303 	: 0.066 %
0xb90F85309CE0562aC129c07e40bd628b82f12092 : 61697 	: 0.066 %
0x8f355208E4C71e8C338dce33948F70871a51Bb88 : 60406 	: 0.064 %
0x32d5986Ab408A468f9414F7254450f56Fc4cC1fd : 60364 	: 0.064 %
0xa223C50Eb8bD32e3546ac55225117df2EaE379A7 : 60240 	: 0.064 %
0x388dC49D650E498e9762BF0C7eda31310609D1bb : 60226 	: 0.064 %
0xA1E4976c74D012494d7DB515aBb8B3f9B4c3CC93 : 59906 	: 0.064 %
0x8e4cdd8854b38BE8F7792B905C857969b09b55AA : 59431 	: 0.063 %
0x962C83298C32Cd2d28639f5DC73fc71DcE1ca9f3 : 59419 	: 0.063 %
0xa3B546dB67F31CFa62D20Ab44beBb3DF0006017C : 57958 	: 0.062 %
0x552Da77f678292B2dE8775101fCD91460f7fef7E : 57373 	: 0.061 %
0x9Af20cf724ffDC36Ad15A86FB37B093400c37C31 : 57228 	: 0.061 %
0x0772763c042c5a64399086dD152a64ef485AFBE4 : 57216 	: 0.061 %
0xB6d1c999A985d0aa3DAc3E4691D8B76d9ceE6E66 : 57076 	: 0.061 %
0xF225f2A5a24460FF73bEe27eDf9d030f804298A2 : 56851 	: 0.061 %
0x15f95c5238c1ddf70cc89c6735ed9d02Cc1fa780 : 56827 	: 0.061 %
0xf773Ad89d5aC8Be24A5dBB9D59a9cc35b2e50c40 : 56709 	: 0.06 %
0x8aDcBfA1bd42F085c43E6D7586e881f52e652cAC : 56145 	: 0.06 %
0x4D2bdF39834bfaEF97904A2dcadE2155A8EF1270 : 56093 	: 0.06 %
0x02dCBd35DE136148c714A9aDD00c037b61c5422b : 54658 	: 0.058 %
