-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.3 (Endend before Late November Migration) Reputation (REP) as of 05.12.2022 (Second iteration)

0xC98fFb80A048B61069001b5fB13D8ce6480d9dBd : 2589 	: 0.117 %
0x564b989D4bd57219B19FaD0517cfc8aE4111537e : 2556 	: 0.116 %
0xd2c5cA64394ecDC630628a4e434e025D2527e4c8 : 2528 	: 0.114 %
0x5f28B5861C25997C5Ad746b2eE30E50c812779DD : 2464 	: 0.112 %
0x112b0704447829f2A15f6f31c0845D1E01624579 : 2460 	: 0.111 %
0x5671193720B64aD9Ca20B0172dbC5685eb1F9cb9 : 2438 	: 0.11 %
0xf63Bb4a0A214f7bB9454E5C6e16Cf6E313fa2196 : 2367 	: 0.107 %
0x731914073Cb13cC376e893B8E007e9C9fF8ae7c2 : 2320 	: 0.105 %
0x5C5A84f90B153c7cf95C1dcB695602Dd1A7713Fc : 2279 	: 0.103 %
0xd1d1F716ead02c264D6dC574840C611e0fd6DD45 : 2209 	: 0.1 %
0x4F708050B3678c455c69616c6887e6Ce34b0C86d : 2179 	: 0.099 %
0x5DF4c975162BAE76Fc790e69B742b99435031253 : 2177 	: 0.099 %
0xD823b2BaAC4d046701Fe004407ACe9167291aD9B : 2166 	: 0.098 %
0x51263874865B2Aa327e5AfBbbc9619A3A1e21353 : 2165 	: 0.098 %
0x7798EF84da597d451d20EE688a4B4A647452ff35 : 2128 	: 0.096 %
0xd6Be063DcF396423538f638FA444b4315d27071B : 2094 	: 0.095 %
0x6f190dd83397a9e0d07CDF91127Eb3e2B8Cb7CeD : 2051 	: 0.093 %
0xcE6385235502abE5eA66c7433F4EaeAE4cC231eB : 1996 	: 0.09 %
0xEC29b7B17E04A7357F28da90961A6565B20b6c48 : 1957 	: 0.089 %
0x90E2bB9c5030e38Ea1d4e3C46C81a9f1bF66E7f6 : 1909 	: 0.086 %
0x3f629F498951B6977D55CBdf66BA0224a6E2d707 : 1874 	: 0.085 %
0x4B2F6D3A23bADb60c8405d50289eF3daB9109936 : 1847 	: 0.084 %
0x4d96E965f16f1E0E2C591067117348BDBc9f17FA : 1829 	: 0.083 %
0x383745aAF8541C32CfF5354d71bBAaD08D696BbD : 1801 	: 0.082 %
0xca3101Be4904B11cdd6C6967feE150aeF26Bb9a1 : 1782 	: 0.081 %
0x8e4cdd8854b38BE8F7792B905C857969b09b55AA : 1781 	: 0.081 %
0xb9D1FfCDa035F2661d9F52Ef89947b19B33e5259 : 1765 	: 0.08 %
0x45dF6475e1A811923B09884342521EDd9F066b12 : 1765 	: 0.08 %
0xea6B52469a6903634502F10083a0926A3C1a922B : 1727 	: 0.078 %
0x909F91d8df852445f35185D466fde788F7B2C0B1 : 1714 	: 0.078 %
0x552Da77f678292B2dE8775101fCD91460f7fef7E : 1683 	: 0.076 %
0x71c43dD0024b40e45F7de599E3BCEe6f8E665e0F : 1678 	: 0.076 %
0x5CA0f638674Eb60B1a4F07D9Abb502af8ef187fB : 1676 	: 0.076 %
0xF38D67df58CA63a87f3CDf0cB15AF6Aa363aF520 : 1665 	: 0.075 %
0xE362fCff4d298D134F107dC65FEB61A197e24f5B : 1657 	: 0.075 %
0x4B65f6eDBd03FbA2BAFE51a2fc2949b654c4897B : 1648 	: 0.075 %
0x35533C5CA870343d05aD214F0Ee5a00C8BF94C8C : 1647 	: 0.075 %
0x79fde9a722e72F57706896675b725c0cED77CD0E : 1636 	: 0.074 %
0xa060538Cb7F29E69E69305050BAB6775338127f7 : 1605 	: 0.073 %
0x528E92819344849DA196Eda5C6e2f905a1557C8E : 1593 	: 0.072 %
0x24c402E676D2FE375A49D8485a24690D1374aE82 : 1584 	: 0.072 %
0x3c1ffB5c21652Fc252c42C1717775fda415d8561 : 1561 	: 0.071 %
0x7cA12a4A00C889072BD3b7F89Fa1980e02E53e40 : 1555 	: 0.07 %
0x1B070b8e9AC2d1750e7283339e805195852644c1 : 1552 	: 0.07 %
0x7D3686487f9153A24717E3D696c2F4264ABD98cd : 1531 	: 0.069 %
0xDA775Aec141D0e132af033CFE0212a0F518CFA89 : 1526 	: 0.069 %
0x3c84a434092d2605670188fe6Df82170484Df0aD : 1505 	: 0.068 %
0x1F19BC4735E333397a01eD2864788cC4D9dC371F : 1484 	: 0.067 %
0xb4da771318c0f63cd766ee4a87ac372792D8b493 : 1471 	: 0.067 %
0xEfd68c05E0cb2414306a1E6672A72e16D03431bc : 1464 	: 0.066 %
0x9E819A3207e539C5BfC1A1C7894A21d0e433D8Ee : 1459 	: 0.066 %
0xB58D0a456481138c2E11f4c82927A9591f560520 : 1454 	: 0.066 %
0x33538a8491276d43c751E7c87F700478D639A456 : 1444 	: 0.065 %
0x30944f11657dEca6A822f419c923eFc41E7Fe0e4 : 1437 	: 0.065 %
0x58b1A42264Eb08b6Bc69Bc278E47B5aA9b00c30B : 1435 	: 0.065 %
0x89D3d7596987Dd21A8501Cc500457958489E0Cc3 : 1432 	: 0.065 %
0xa38DeE2992Dce20dc7eA2eFB1F687b9Eef9d1A94 : 1429 	: 0.065 %
0xf7d456486E042F35CB101035393A0DF6Fd2896B1 : 1421 	: 0.064 %
0x76701bDC91F93eda739eA4E51CB4975D153Ee4aA : 1399 	: 0.063 %
0x8aD6e07E29c9450C77F198001408dD1Ceec46F53 : 1399 	: 0.063 %
0xf669eA009BE1C43c47F44A62ba7454Bd7f544190 : 1382 	: 0.063 %
0xB50aB6e79A59CACf5F1a5a126d8a3b8E9DfDf4A7 : 1380 	: 0.062 %
0xfFD2Ff35147e6B1069664A983Ec4B6Fa154F8CfD : 1374 	: 0.062 %
0xBc79f177950760B720FA30bCACAcA337fF7d58BA : 1358 	: 0.061 %
0x1AD2BFe50BccCe963EaEC24250d7eF2b19BD5b57 : 1348 	: 0.061 %
0x4a12E7c807c0C3bF29F01e9eEb373ABEc501b0c8 : 1326 	: 0.06 %
0xa368C967c5eF51cCa5769bCC20A86faCa042B1F6 : 1326 	: 0.06 %
0xF9c6a5AEa1737efd57F1699C552cBFbA3aE0daCf : 1319 	: 0.06 %
0x82BF7C3f4e3CCff15a49e91544E574c380fc434f : 1299 	: 0.059 %
0x60fBDD8f7a6318D16C9c62e3297AE2f207CcEb5c : 1280 	: 0.058 %
0xeaAB5E14562ee17292a332b94ef0D1C48DBCF32A : 1279 	: 0.058 %
0xf40555AF697f269339d0e88AEF8dA0ECCD2E3411 : 1276 	: 0.058 %
0x612c0a8faA1cb820a66F1f92d5c3597eEc7154f2 : 1262 	: 0.057 %
0xcbC6b70eeF230F56ce35FA173Fd4534AB5658312 : 1259 	: 0.057 %
0x622034fb200cDed068678B32DCeF6531EF67cB8e : 1257 	: 0.057 %
0xC8086d6fe0a1f7982ff787f9499B24718DE5Cd33 : 1248 	: 0.057 %
0xfa829732D90Dfc0b48Caa2543ce5B8C317D21AEd : 1243 	: 0.056 %
0x4C4D25350F597f6a4442EBCCBa2e54bdACf24AD2 : 1241 	: 0.056 %
0x1402D4Bf8576CeF4D0E2015d0c410029E29045bf : 1231 	: 0.056 %
0xf366F59bBf6Eb8Fea24EEcEF270877cbb74Be8F0 : 1218 	: 0.055 %
0xE2466F6F4a53c6A49F14d5EAd3916d4150ca75DF : 1213 	: 0.055 %
0xae2D20904d5E4D7E53f443fcD027816Cc640c258 : 1192 	: 0.054 %
0xB314536C08225E7A603b3b86d77762776554F49b : 1187 	: 0.054 %
0x1d501e0Fe047505E8a662387B445488D61A026ec : 1186 	: 0.054 %
0xb31451dBb9f777635dd4742C287998619129bC8c : 1180 	: 0.053 %
0x1F71A27869de2E8CA859b3A7dc4d161666B1B585 : 1180 	: 0.053 %
0xbEEbbc2c39Ac6333E34079Ac7cB7F159A8d086F7 : 1174 	: 0.053 %
0x843f8f775Bd1aB6D58336d69fAE9bDDb9b668E0B : 1170 	: 0.053 %
0x5a397e8b5d2D9327ca79cA7DbD2b1bbD855A3299 : 1166 	: 0.053 %
0xd4f372660f1afAEDdb4647bed151D876DF9241d6 : 1161 	: 0.053 %
0xBcB886e5C25b13561e09F240149b8FdE95604C9a : 1157 	: 0.052 %
0x05ed4ed982e9d784D338A7aea780606434d1338d : 1146 	: 0.052 %
